Quiz4
N000000070,CDDABCDABC_DABC_ADCA
N000000390,C_DA__DA_CDDA_C_ADCA
N000000350,CDDDBC__BCDDABCDAD_A
N000000043,C_DAB__AAC__ABCDABC_
N000000302,CD_A_ADABCDDAB__A_CA
N000000013,CCDABCD_BC_D_BC_ADCD
N000000223,CDDABCD_BCDDABCDADC_
N000000144,CD_ABCAABADDABCDADC_
N000000018,CDDBB_CA_D_DAACDACCA
N000000105,C_DABCDABCDDABCDA__A
N000000256,C_DAB__CBCDDABCDADCA
N000000115,CDDABCDABCC__BCDA_CA
N000000430,CDDABCDABD_DABCD_DCA
N000000373,CCDABC_ABCDDABCD_DD_
N000000001,_DD__C_ABCDDAB_DADC_
N000000232,CD__BCDA_CDDAB_DADC_
N000000439,CD_ABC_ABCDD_B___DC_
N000000291,CDD_BCDABCDD_BCDADCB
N000000165,CDDABCB_BC_DABCD_DCA
N000000125,CD__DCDAB_D_ABA___CA
N000000146,CDD_B__ABCD_A_CD_D__
N000000169,CDDABC_A_CDDABCDA_CC
N000000116,_D_ABCDAB_DD_BC_AD_B
N000000283,CDD_BC_AB_D_ABCDADCA
N000000383,_DDA_CDA_BDDA__DA_CA
N000000412,CDD_BCDA_CDDABCDA_C_
N000000344,C_D_DD_ABCDDABCD_BCA
N000000268,CDDA_CDAB_DD_BA_ABCA
N000000459,CDDA_CDABCDCABCDCDCA
N000000333,CDDADCDA___DABCAAD__
N000000301,CD_AB_AABCD____CADCA
N000000214,CBDA_C_AB_DAAAC__DCA
N000000035,C_DAB_D_DCDDABC_AD_A
N000000455,_DDABCDABCCDB_CDADAA
N000000096,CDD_B_DAB_DDABCDADC_
N000000386,_DDABCDA_CD_ABC__DCA
N000000074,CD_ABCDBB__D_BCDADC_
N000000328,C_DAA_DA_CDDABCDA_CA
N000000401,CD____DAB_D_ABCD__C_
N000000392,C__AB__A____A_CDA_CA
N000000111,CDCABCDA_C__AB_DA_CA
N000000059,A_DAB_B__CD_AB_D_DCA
N000000187,_D__BCDABCDD_BCDA_C_
N000000352,CDD_BCDABCDDA_ADADCA
N000000341,CD_ABCDA_CDDABCDD_CA
N000000200,C__ABCDAB_DBAB_BAD_A
N000000245,CDD__CD__CBAABCDADCA
N000000178,CDDABCDABCBDA_CDADCA
N000000495,CDDABC_A_CDDAB__C_CA
N000000318,___A_CDABC_DABCDBDCA
N000000208,CDDA___ABCCD__C__DCA
N000000435,CBDAB_DABAADA_CDAD__
N000000224,C_D_BC_ABCDDAB_DBDCA
N000000394,CDDA_CAAB_D_CBCDADC_
N000000331,CDD_BCDABCD_AB_DA_CA
N000000377,__DA_CDABDDDABCDADC_
N000000120,CDDABC__BBDD_BCDADCA
N000000489,_D_AB_D_BCDDAB__ADCA
N000000114,CD_ABCDABCD___CD_DCA
N000000266,_DD_B_C_BCDDBBCDA_CA
N000000319,CDCABC_ABCDDA_CD_BCB
N000000296,_DD___D_BCDDABCD_D_A
N000000076,_DDAB_DABCDDA_CD_DCA
