Quiz5
N000000299,AB_DABDEADDABD_
N000000304,AB_DABCEADDABDA
N000000012,A_DDBBDECDC_BD_
N000000266,ABDDABDEADDA__A
N000000058,ABDDABDEADDDBDA
N000000162,ABDD_BD_ADDABDC
N000000418,ABDDA_DEA_BAABA
N000000078,_B_DA_DBADDA__A
N000000199,ACDDABDEA__ABAA
N000000024,A_DA_B__ADDABA_
N000000345,_BCDAB_E_DDABDA
N000000183,_BDDA_DEADDABDA
N000000272,ABDDAB___DDABAA
N000000033,_BDDABD_AD__DD_
N000000358,AB__AB_EADDABDA
N000000411,ABDDA_DEADA_B__
N000000098,ABDDABDEADBABD_
N000000477,A__DA_DE_DDABD_
N000000176,AB_DABDEADDA_DA
N000000130,AB_DABDEA_DAB_A
N000000048,A__AABDECDDDBDA
N000000249,A__D_ADBADDABDA
N000000235,ABD_ABDE__DA__A
N000000025,ABDBAB__A_DABDA
N000000101,ABDDA_DEADDABD_
N000000045,ABDD_BD__DDADD_
N000000283,_BDDABDEDDDABDA
N000000002,ABDDAB_EA_DABDA
N000000443,ABDDADDEADDABDA
N000000496,AB_DABD_ADDA___
N000000237,ABDD_BDE__DABDA
N000000196,ABDDABD_ADDAA_A
N000000437,ABDBA_DEDDDDBDA
N000000009,ABDDDBDEADDABDA
N000000401,BB_D_DDEAD_ADDA
N000000381,ABD_ABDEADDABD_
N000000267,__DDAB_EADDA__A
N000000053,_BDD_BDEAD__BDA
N000000342,_BDDA_DEA_BABDA
N000000351,_BDDAB_EADDAB_A
N000000064,AB_D_BD_ADDABBA
N000000492,A_DDCB___DDAB_A
N000000302,A_CDABDEAD_D_A_
N000000217,_B_B_A_EA_DABDA
N000000288,A_DD_BDBDDD_ADA
N000000065,_BD__BD_ADAAB_A
N000000446,ABD_A_DEA__A__A
N000000079,AB_DAB_E_D_ADB_
N000000113,ABDDABDE__D_BDA
N000000219,ABDCABDEAD_ABDA
N000000233,ABDDABD__D_ABDA
N000000346,_B_D_BD_AD_A_AA
N000000262,ABDDABDE_DDABDA
N000000096,AD_DABDEDAAAD_A
N000000347,ABDD_DDE__DABAA
N000000027,A__DA_DEA_DA_DA
N000000422,ABDDABDC_D_ABDA
N000000385,ABDDABDDAD_ABD_
N000000212,BBDDA_D_A__ABDA
N000000143,ABADAB_AADD_BDA
N000000227,AB_DABDEAD_ABDA
N000000318,_BD_A__DA_DACDA
N000000114,_BDDABBEADDAB_A
N000000312,ABDD_BBEADDABDA
N000000438,__DDABDEADDABDA
N000000365,A___CBDEADDB__A
N000000214,_BDDABDE_DAABDA
N000000204,ABDD_BAEADDABD_
N000000430,A__DABDEADDABDA
N000000407,ABDDA__E__C_BD_
N000000120,ABDD__DE__DAB_A
N000000445,ABDDABBBABDABD_
N000000008,ABDDABCEADDABDA
N000000324,_BDD_BD_ADDAB_A
N000000000,_BD__BDEADDA_DA
N000000370,ABDD_BDE_DDABD_
N000000491,A_DD__DEA_DA_DA
N000000251,AB_DA_DE_DD_BDA
N000000490,ABDDABD_ADDABBA
N000000241,ABBDABDEADDABDA
N000000316,ABDA_CDEAD_ABD_
N000000274,A__DA_DE_CDABDA
