Quiz3
N000000246,_B_A_CCDCABBDBC
N000000010,BBBABCC_E_BA__C
N000000312,BBBABC_BEABA_B_
N000000158,_BB_BCCDBABA_B_
N000000263,_B_A_CCDEABAAB_
N000000383,B_BAB_CDEBBAABC
N000000172,BBB_CCCD_ABA_BC
N000000341,B__A_CCDECB_ABC
N000000150,BB_ABCC__A__ABC
N000000479,BB_AAC_DE___ABC
N000000304,BBBABCCDEABAAB_
N000000103,BC_AB_CD__BAAB_
N000000260,B_BABCCDEA_AABA
N000000241,B_BAB_C_EABAA_B
N000000203,BBBA_CCDE__AABC
N000000209,BBBABC_B_ABAAB_
N000000180,BB_A_CCDAAB_ABC
N000000314,B_BABCCDE_B_AB_
N000000012,BB_ABCCDEABAA__
N000000233,BB__B_CDEABAA_C
N000000157,BBBADCCDEA_BAB_
N000000381,B_BA_C_D_A_AABC
N000000293,BBB_B_CCDABAABC
N000000369,BBBACCDDEAB__BA
N000000068,BB_ABCCDEBBAA__
N000000262,BBBABDCDE_BAABC
N000000188,BBBABD_D_A_AAB_
N000000333,BB_ADCC_D____BD
N000000063,BBBAB_CDE_BA_BC
N000000174,B_BACCCD__BABBC
N000000186,BBBAB__DEABAAB_
N000000015,B_BA_CCDEABAAB_
N000000084,BBB_BCCDEABAA_C
N000000065,BBB_BCCC_ADA_BD
N000000244,BBBAB__D_ABAABC
N000000151,BB_ABC_DEABA_BC
N000000372,DB_ABCCDEA_AA_C
N000000397,BBBABCCD_ABAA_C
N000000225,DBBABCCDE__AABC
N000000105,BBBA_CC_EABAAB_
N000000092,BB__BCC___AAA_C
N000000138,BDB_BDCDEA_AABC
N000000326,BB_BBCCDEA_AABC
N000000222,BBB_BCCDEABAABC
N000000108,__BA____EA_A__C
N000000427,BBB_BC__EABAABC
N000000313,BBBAB_CDE_BAA_C
N000000126,BB_ABCCD__BAA_C
N000000270,B__ABCCDE_DA_BC
N000000269,BBCA_B_DEAB__CC
N000000088,__B__C_DCABAADC
N000000101,BBBABCCDEAB__AA
N000000272,B_BA__CDEAAAAB_
