Quiz4
N000000373,CDDA_CDABDDDABCDAD_A
N000000365,CDDABCDAB_D_ADC_A_C_
N000000181,CDDAB_DADCDDA_CBADCA
N000000299,CDDA_C_A_C_DA__D__C_
N000000056,CDDABC_AC_____CDAD_A
N000000163,CBD_BC_ABCD_AC_DADCA
N000000451,CD__B_DABCDDA_CDA_C_
N000000488,C_DDBCD_BCD_ABCDADCA
N000000432,_DDABC_ABCDD_ACA_DCA
N000000423,CDD_BC_ADC_DABC_ADC_
N000000343,CD_ABCBAB_DDABCDBDC_
N000000068,A_A_BCDABCDDCB__A__A
N000000185,CDDACC_ABCDDDBCDADC_
N000000445,CDDABCDA_CDDABCDAD_C
N000000419,CD_ABCDAB_D__BCDAD_A
N000000060,__DABC_A_CDDAB_DADCA
N000000206,CDDA__DA_ADDA_CD_DC_
N000000112,DDDABC_ABBDDABCDA__A
N000000198,___ABCDABCDDABCDAD__
N000000402,_DD_BC__BCA__BC_AD_A
N000000120,CB_ABC_ABCDA__CD__C_
N000000085,CDDAB_DABCDDACCDA_CA
N000000375,CD__BCAA___DA_C__DCD
N000000153,CDDABCDABCD_A_CDADCA
N000000116,CDD_BCDABCDDBBCDAACA
N000000164,_DDABCDABBDDCB_DADCA
N000000477,CDDABCDBBCDD__CDADCA
N000000260,CDBABCDABCDDABCDADCA
N000000216,_D___CD_BCD__BCBADCA
N000000203,CDDABCDAB_D_AACDADCA
N000000392,___ABCDD_CDAABCDADCA
N000000054,C_DABCDABCBDABCDADCA
N000000389,_DDABCAA_CA_ABCDAD_A
N000000041,C_DAB__DBCDDABCDADAA
N000000151,__DADCD_BCDDAACD_DC_
N000000022,_DDAB__A_CD__BCDADCA
N000000276,CDD_B_DABBDDAB_DADCA
N000000124,_DDCBCD_BCDDAB_D_D_A
N000000097,_DDAACDA_CA_AB_DA__A
N000000397,_B_A_CDABCDD__CDADCA
N000000322,CDDA__DACC_DABCD_D_A
N000000258,CADABCDABCDDAB_D_DCA
N000000456,CDDAB_AA_C_DABCDAD_A
N000000279,CDDA_CDAB__D_BC_BDCA
N000000382,CDDA_CD___DD_BCDADCA
