Quiz4
N000000248,CDDABDDAB_DD_B_DACCA
N000000471,_DDDBCDABCDCABC__D_A
N000000314,CDD_BCDAB__DABCBADCA
N000000186,BDDBB___BCADADCDADCA
N000000072,CDD_BCDABCDBABCDADCA
N000000214,BDD_B__ABCD__BCCA_CA
N000000491,CDDABCDABCD_ABCDAD_A
N000000100,_DD_B_DA_CD_ABCDADCA
N000000410,CDDAD__A_ADDAB___DCC
N000000105,CDDA_CDABC_D_BCDAD_A
N000000034,_DD_B_D_BC__ABCDADCA
N000000173,CD_ABCD___DDABCDADDA
N000000062,CDDAB_DABCDDABCD_DCA
N000000144,CD_ABCDABC__BBCDA_CA
N000000098,C_D_BCD__CBDA_CD__CA
N000000051,CDD_BCDAB_B_A__DADCA
N000000342,CD_ABCDABCDD_BCDADCA
N000000470,_DDAA_DA_C_DABC_ADCA
N000000379,C_DAB_DABCDDABCD_DCA
N000000003,CDDABC_ABC_DABBDADCA
N000000001,_DDABCDA_BDDABCDA_CA
N000000369,CD_DDC_ABCDD_BC_AD_A
N000000308,CD_ABCD__ADDAACDADCB
N000000280,CDDA__DBBCCDABC_AD__
N000000270,DDDABCDABC___BCDADC_
N000000134,__DA_CDABCD_ADCD__CA
N000000200,C_DABCDABCDD_BD__DCA
N000000304,CD__BCDCBCDD_DCDA_CC
N000000332,CDDABCD_BCDDAB_AAD_A
N000000464,_DDABC_A_CDD_B_DA_CA
N000000457,_D_AB_DABDDDA_ADADCA
N000000245,CD_B_C_ABCDDABCD_DCA
N000000449,CDDABCDABCD__BCDA_C_
N000000338,CD_A_CDA_CADABA__DCA
N000000293,CD__BC_ABC_DA__DADCA
N000000494,CDDABC__BC__ABCDADCA
N000000273,CD_ABCDABCDDAB_DAD_A
N000000181,CDD__CDABCDDABCDA_CA
N000000297,C_D_BCD___DDABCDADBB
N000000298,BDDACCD__CDDAB_DADC_
N000000169,CD_ABCDABCDDA_C_ADC_
N000000234,_DD_BC__BC__ABCDA_C_
N000000405,CD_ACCC_BC_DABCDA_CA
N000000262,_D__BC_ABCDDABC__D__
N000000156,CDDB__DABCDDABCD_D__
N000000299,_DDABC_ABCDDA_C__CCA
N000000467,_DDAB_DABCDDAB__A__A
N000000086,_DBADC_ABCD_ABCDADCA
N000000286,CCDA_CDABCDDABCD_DCA
N000000101,CDDA_CDABCD_AB_DADBA
N000000450,C_DAD_DABCDDABCDADCA
N000000058,_DDABCDA_C_DA__D_DCA
N000000107,CDDACC__BC_DABCDA__A
N000000040,CDDABB_ABCCDABC_ADCA
N000000208,_DD__CDA___D_B_DAD_A
N000000182,CD_AB_DA_C_DAB_CA_CA
N000000261,C___BCDABCDDABC_ADC_
N000000476,C_CABCDAB_DDAB_DADA_
N000000217,CDDA_CDABCDA_BCDADCA
N000000045,_DDA_CDA_CADA_CDAD_A
N000000368,CDDABCDABD_DABCCAD_A
N000000053,CCDABCDA_CDDABCDAD__
N000000078,__DABCDA_CDD_BC_ADCA
N000000321,_DDAACDA__DDA__DCC_A
N000000190,__DABCDABCBD_BCDABCA
